source,source_id,category_title,category_alias
yelp,kqgcFPwYrkMlQzuF-CNREg,Coffee & Tea,coffee
yelp,kqgcFPwYrkMlQzuF-CNREg,Food Trucks,foodtrucks
yelp,kqgcFPwYrkMlQzuF-CNREg,Sandwiches,sandwiches
yelp,0mjo-giJPlOiJTBSvKaxCw,Food Trucks,foodtrucks
yelp,0mjo-giJPlOiJTBSvKaxCw,Tacos,tacos
yelp,mlGafWdmtJHk3F8gJoFJiw,Bakeries,bakeries
yelp,mlGafWdmtJHk3F8gJoFJiw,Convenience Stores,convenience
yelp,mlGafWdmtJHk3F8gJoFJiw,Mexican,mexican
yelp,XN06Vl1v6XEfecypFSf97Q,Bars,bars
yelp,XN06Vl1v6XEfecypFSf97Q,American,tradamerican
yelp,XN06Vl1v6XEfecypFSf97Q,Arcades,arcades
yelp,zabg3jzVrVHD2gCYzhszCQ,Mexican,mexican
yelp,zabg3jzVrVHD2gCYzhszCQ,Food Trucks,foodtrucks
yelp,f9aUKLm2hMd33c-794E-EA,Desserts,desserts
yelp,f9aUKLm2hMd33c-794E-EA,Sandwiches,sandwiches
yelp,f9aUKLm2hMd33c-794E-EA,Waffles,waffles
yelp,jFdlENO0HmIRbky9RIBGbA,Asian Fusion,asianfusion
yelp,i5xLglHzH7vyWvPvl4VKXw,Italian,italian
yelp,i5xLglHzH7vyWvPvl4VKXw,Pizza,pizza
yelp,i5xLglHzH7vyWvPvl4VKXw,Food Trucks,foodtrucks
yelp,Cr33Sp-lnfd9eqh7ahtyAQ,Italian,italian
yelp,Cr33Sp-lnfd9eqh7ahtyAQ,Pizza,pizza
yelp,Cr33Sp-lnfd9eqh7ahtyAQ,Desserts,desserts
yelp,Nx1dEXXY3EfIGiyhCCjQuA,Wine Bars,wine_bars
yelp,Nx1dEXXY3EfIGiyhCCjQuA,Salad,salad
yelp,Nx1dEXXY3EfIGiyhCCjQuA,Tapas/Small Plates,tapasmallplates
yelp,aCvgaAOxslD6OTcwfxVLPA,Turkish,turkish
yelp,_YyKKRxmXdLT8ZGfiAUzpA,Cafes,cafes
yelp,noOUkFJ1TyIMXePZXMQlbw,Chinese,chinese
yelp,noOUkFJ1TyIMXePZXMQlbw,Wraps,wraps
yelp,ffMKfxhBS0p8PZruwby3KQ,Bubble Tea,bubbletea
yelp,ffMKfxhBS0p8PZruwby3KQ,Chicken Wings,chicken_wings
yelp,ffMKfxhBS0p8PZruwby3KQ,Ramen,ramen
yelp,qPwCNLNSLD2E0MS5NDeUwQ,Southern,southern
yelp,qPwCNLNSLD2E0MS5NDeUwQ,Barbeque,bbq
yelp,QgkEQvj-TJI58ifSul0Tcg,Japanese,japanese
yelp,QgkEQvj-TJI58ifSul0Tcg,Asian Fusion,asianfusion
yelp,fyC1cTn0Brb4otDg-XGUmg,New Mexican Cuisine,newmexican
yelp,qXc1LQi_uL6zgALJHOpDxQ,Italian,italian
yelp,7vjMGr949XRl-j6pOnQMFg,Chinese,chinese
yelp,JwBkHjtVQ27MW4SBCdfKkg,Delis,delis
yelp,JwBkHjtVQ27MW4SBCdfKkg,Sandwiches,sandwiches
yelp,5Z2tJZ9jkM_2EpUn2UQzjw,Caribbean,caribbean
yelp,5Z2tJZ9jkM_2EpUn2UQzjw,Chicken Shop,chickenshop
yelp,5Z2tJZ9jkM_2EpUn2UQzjw,Seafood,seafood
yelp,vv9DS3NcbIt-_j78cMN5ug,Colombian,colombian
yelp,vv9DS3NcbIt-_j78cMN5ug,Fast Food,hotdogs
yelp,vv9DS3NcbIt-_j78cMN5ug,Food Trucks,foodtrucks
yelp,gg49XGGHcLxeLu6VOcGzdA,Mexican,mexican
yelp,gg49XGGHcLxeLu6VOcGzdA,Breakfast & Brunch,breakfast_brunch
yelp,gg49XGGHcLxeLu6VOcGzdA,Salad,salad
yelp,ZWOilU4wdFnsnl-6Qv5qJQ,Food Trucks,foodtrucks
yelp,ZWOilU4wdFnsnl-6Qv5qJQ,Food Delivery Services,fooddeliveryservices
yelp,ZWOilU4wdFnsnl-6Qv5qJQ,Tacos,tacos
yelp,hs6O7kGqzQ4_t4pGUaZ5kw,Argentine,argentine
yelp,ITQcPK3XV4rfnH6htrhf9A,Chicken Shop,chickenshop
yelp,ITQcPK3XV4rfnH6htrhf9A,Sports Bars,sportsbars
yelp,ITQcPK3XV4rfnH6htrhf9A,Sandwiches,sandwiches
yelp,mVWa_B0sZPnbKUV2YrU5qg,Peruvian,peruvian
yelp,mVWa_B0sZPnbKUV2YrU5qg,Chicken Shop,chickenshop
yelp,YUQ6-6dHKSJQxL8ZLWhe2g,Donuts,donuts
yelp,YUQ6-6dHKSJQxL8ZLWhe2g,Hot Dogs,hotdog
yelp,Z9Qz1DaPMvPaqMVK09ZYqg,Arcades,arcades
yelp,Z9Qz1DaPMvPaqMVK09ZYqg,Wine Bars,wine_bars
yelp,Z9Qz1DaPMvPaqMVK09ZYqg,Cuban,cuban
yelp,ORCImXryHa7e2EXmYdyKzA,Mexican,mexican
yelp,QRYuVv6LbuXKD4GKxPHxMQ,Food Trucks,foodtrucks
yelp,QRYuVv6LbuXKD4GKxPHxMQ,Tacos,tacos
yelp,ddKqU6sngBKrhNe51pxKQA,Creperies,creperies
yelp,ddKqU6sngBKrhNe51pxKQA,Ice Cream & Frozen Yogurt,icecream
yelp,ddKqU6sngBKrhNe51pxKQA,Desserts,desserts
yelp,SpLFU9x9fqX66XylC8qoGA,Mediterranean,mediterranean
yelp,SpLFU9x9fqX66XylC8qoGA,Egyptian,egyptian
yelp,SpLFU9x9fqX66XylC8qoGA,Halal,halal
yelp,Coj5mUSaIzdZylxPQelg9w,Bars,bars
yelp,Coj5mUSaIzdZylxPQelg9w,Sandwiches,sandwiches
yelp,IC5P-H6ik5FyM4oZaJCntg,Coffee & Tea,coffee
yelp,IC5P-H6ik5FyM4oZaJCntg,Desserts,desserts
yelp,IC5P-H6ik5FyM4oZaJCntg,Middle Eastern,mideastern
yelp,igjR74V5lNhvysM05OZyXA,Halal,halal
yelp,igjR74V5lNhvysM05OZyXA,Burgers,burgers
yelp,igjR74V5lNhvysM05OZyXA,Chicken Wings,chicken_wings
yelp,p31x-FIvjCM8Br2MyQ9tlQ,Coffee & Tea,coffee
yelp,p31x-FIvjCM8Br2MyQ9tlQ,Breakfast & Brunch,breakfast_brunch
yelp,p31x-FIvjCM8Br2MyQ9tlQ,Sandwiches,sandwiches
yelp,cb6XFaUrSLhTWpCuOCgCAg,Mexican,mexican
yelp,xIbINpWc2TZorB9FnLvixw,Noodles,noodles
yelp,xIbINpWc2TZorB9FnLvixw,Food Trucks,foodtrucks
yelp,xIbINpWc2TZorB9FnLvixw,Ramen,ramen
yelp,OK_--wLgyXwF4Btv04cZ0A,Bubble Tea,bubbletea
yelp,OK_--wLgyXwF4Btv04cZ0A,Ramen,ramen
yelp,OK_--wLgyXwF4Btv04cZ0A,Sushi Bars,sushi
yelp,Lghp_sRkbth4Ttg_eEaNUA,Soup,soup
yelp,Lghp_sRkbth4Ttg_eEaNUA,Salad,salad
yelp,Lghp_sRkbth4Ttg_eEaNUA,Dim Sum,dimsum
yelp,tB2LegQ7Fa5dcLnlanNNKw,Mediterranean,mediterranean
yelp,tB2LegQ7Fa5dcLnlanNNKw,Greek,greek
