source,source_id,day,start_time,end_time,is_overnight,is_late_night_11pm
yelp,-FA84VJIyH2pguzNbZuBPw,0,07 : 00,19 : 30,0,0
yelp,-FA84VJIyH2pguzNbZuBPw,1,07 : 00,19 : 30,0,0
yelp,-FA84VJIyH2pguzNbZuBPw,2,07 : 00,19 : 30,0,0
yelp,-FA84VJIyH2pguzNbZuBPw,3,07 : 00,19 : 30,0,0
yelp,-FA84VJIyH2pguzNbZuBPw,4,07 : 00,19 : 30,0,0
yelp,-FA84VJIyH2pguzNbZuBPw,5,07 : 00,19 : 30,0,0
yelp,-FA84VJIyH2pguzNbZuBPw,6,07 : 00,19 : 30,0,0
yelp,-i20Yl0MTUr-i1N-58-JJA,0,11 : 00,21 : 00,0,0
yelp,-i20Yl0MTUr-i1N-58-JJA,1,11 : 00,21 : 00,0,0
yelp,-i20Yl0MTUr-i1N-58-JJA,2,11 : 00,21 : 00,0,0
yelp,-i20Yl0MTUr-i1N-58-JJA,3,11 : 00,21 : 00,0,0
yelp,-i20Yl0MTUr-i1N-58-JJA,4,11 : 00,21 : 00,0,0
yelp,-i20Yl0MTUr-i1N-58-JJA,5,11 : 00,21 : 00,0,0
yelp,-i20Yl0MTUr-i1N-58-JJA,6,11 : 00,21 : 00,0,0
yelp,-vD0CxKDZ2ux34GsS1P9eQ,0,11 : 00,22 : 00,0,0
yelp,-vD0CxKDZ2ux34GsS1P9eQ,1,11 : 00,22 : 00,0,0
yelp,-vD0CxKDZ2ux34GsS1P9eQ,2,11 : 00,22 : 00,0,0
yelp,-vD0CxKDZ2ux34GsS1P9eQ,3,11 : 00,22 : 00,0,0
yelp,-vD0CxKDZ2ux34GsS1P9eQ,4,11 : 00,22 : 00,0,0
yelp,-vD0CxKDZ2ux34GsS1P9eQ,5,11 : 00,22 : 00,0,0
yelp,-vD0CxKDZ2ux34GsS1P9eQ,6,11 : 00,22 : 00,0,0
yelp,0mjo-giJPlOiJTBSvKaxCw,1,11 : 00,22 : 00,0,0
yelp,0mjo-giJPlOiJTBSvKaxCw,2,11 : 00,22 : 00,0,0
yelp,0mjo-giJPlOiJTBSvKaxCw,3,11 : 00,22 : 00,0,0
yelp,0mjo-giJPlOiJTBSvKaxCw,4,11 : 00,22 : 00,0,0
yelp,0mjo-giJPlOiJTBSvKaxCw,5,11 : 00,22 : 00,0,0
yelp,0mjo-giJPlOiJTBSvKaxCw,6,11 : 00,22 : 00,0,0
yelp,0ylNWojL5QsRRpQsJ2bapA,0,11 : 00,21 : 30,0,0
yelp,0ylNWojL5QsRRpQsJ2bapA,1,11 : 00,21 : 30,0,0
yelp,0ylNWojL5QsRRpQsJ2bapA,2,11 : 00,21 : 30,0,0
yelp,0ylNWojL5QsRRpQsJ2bapA,3,11 : 00,21 : 30,0,0
yelp,0ylNWojL5QsRRpQsJ2bapA,4,11 : 00,22 : 00,0,0
yelp,0ylNWojL5QsRRpQsJ2bapA,5,11 : 00,22 : 00,0,0
yelp,0ylNWojL5QsRRpQsJ2bapA,6,12 : 00,21 : 30,0,0
yelp,12CqiOV1GVOO_OknEgUJ9A,0,10 : 00,22 : 00,0,0
yelp,12CqiOV1GVOO_OknEgUJ9A,1,10 : 00,22 : 00,0,0
yelp,12CqiOV1GVOO_OknEgUJ9A,2,10 : 00,22 : 00,0,0
yelp,12CqiOV1GVOO_OknEgUJ9A,3,10 : 00,22 : 00,0,0
yelp,12CqiOV1GVOO_OknEgUJ9A,4,10 : 00,22 : 00,0,0
yelp,12CqiOV1GVOO_OknEgUJ9A,5,10 : 00,22 : 00,0,0
