source,source_id,name,rating,review_count,price,is_closed,phone,display_phone,url,latitude,longitude,distance_to_ucf_miles,address1,address2,address3,city,state,zip_code,full_address
yelp,x96GrCPiqmRbQVVfJnKOew,Which Wich,5.0,1,,False,+14078236277,(407) 823-6277,https://www.yelp.com/biz/which-wich-orlando-4?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.60185139431791,-81.20025513201875,0.03905574035875167,12715 Pegasus Dr,,,Orlando,FL,32816,"12715 Pegasus Dr, Orlando, FL 32816"
yelp,7kiwG4kTapcD-8aGW87iKA,Aurora At The Celeste,4.4,281,$$$,False,+14072074700,(407) 207-4700,https://www.yelp.com/biz/aurora-at-the-celeste-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.599134371619584,-81.207038,0.47754250232479,4105 N Alafaya Trl,,,Orlando,FL,32826,"4105 N Alafaya Trl, Orlando, FL 32826"
yelp,1s_5CutChvh7UjfsPXmnKw,Celeste Hotel,4.1,49,$$,False,+14072074700,(407) 207-4700,https://www.yelp.com/biz/celeste-hotel-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.599083,-81.207411,0.4992190312169216,4105 N Alafaya Trl,,,Orlando,FL,32826,"4105 N Alafaya Trl, Orlando, FL 32826"
yelp,gESBiku1Vm0L9TqQ3-cdoQ,Omelet Bar,4.1,555,$$,False,+14077041597,(407) 704-1597,https://www.yelp.com/biz/omelet-bar-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.6002851,-81.2081685,0.510799266122922,12250 Strategy Blvd,Ste 407,,Orlando,FL,32817,"12250 Strategy Blvd, Ste 407, Orlando, FL 32817"
yelp,cQqDl2LsQw_JpbC-cu3KvA,Spice Indian Grill Orlando,4.4,182,$$,False,+14073509530,(407) 350-9530,https://www.yelp.com/biz/spice-indian-grill-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.6060694,-81.2082469,0.5554332484462657,4498 N Alafaya Trl,Ste 306,,Orlando,FL,32826,"4498 N Alafaya Trl, Ste 306, Orlando, FL 32826"
yelp,l7rjq2NX8wwSzoZrNWZq1A,Nature's Table,4.2,13,,False,+14074125495,(407) 412-5495,https://www.yelp.com/biz/natures-table-orlando-24?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.5990809,-81.2090885,0.5915270953372311,12101 University Blvd,Unit 213,,Orlando,FL,32817,"12101 University Blvd, Unit 213, Orlando, FL 32817"
yelp,ULU1v4LqU5LbRNnMXbWykg,Blaze Pizza,4.5,447,$$,False,+14072829453,(407) 282-9453,https://www.yelp.com/biz/blaze-pizza-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.599694334117487,-81.20951917002735,0.601192276571954,4100 N Alafaya Trl,Ste 113,,Orlando,FL,32826,"4100 N Alafaya Trl, Ste 113, Orlando, FL 32826"
yelp,Aj-F_Pg3vERqjRM1tCfn6Q,Sus Hi Eatstation,4.2,650,$$,False,+13212909332,(321) 290-9332,https://www.yelp.com/biz/sus-hi-eatstation-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.606056199572,-81.2091994285583,0.6070361987617924,4498 N Alafaya Trl,Ste 324,,Orlando,FL,32826,"4498 N Alafaya Trl, Ste 324, Orlando, FL 32826"
yelp,koWzzlPUIIxUhFmOeHB04g,Akshaya Patra,5.0,1,,False,,,https://www.yelp.com/biz/akshaya-patra-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.6071320817106,-81.20975349999999,0.6706762012657315,12226 Corporate Blvd,Unit 172-192,,Orlando,FL,32817,"12226 Corporate Blvd, Unit 172-192, Orlando, FL 32817"
yelp,HP6usCWbGeIKd8xdK4KerQ,SoDough Square - UCF,4.4,50,$$,False,+14077572662,(407) 757-2662,https://www.yelp.com/biz/sodough-square-ucf-orlando-3?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.607082,-81.209808,0.6718919076019801,12226 Corporate Blvd,Ste 118,,Orlando,FL,32817,"12226 Corporate Blvd, Ste 118, Orlando, FL 32817"
yelp,-FA84VJIyH2pguzNbZuBPw,Foxtail Coffee - UCF Corporate Blvd,5.0,2,,False,+14072035181,(407) 203-5181,https://www.yelp.com/biz/foxtail-coffee-ucf-corporate-blvd-orlando-2?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.60753072183832,-81.20972773818816,0.6831889262049082,12226 Corporate Blvd,Ste 100,,Orlando,FL,32817,"12226 Corporate Blvd, Ste 100, Orlando, FL 32817"
yelp,RyP_OAZhu6TFgXDxv1sPCw,The Dough Show,4.5,319,$$,False,+16892079927,(689) 207-9927,https://www.yelp.com/biz/the-dough-show-orlando-2?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.596637749703188,-81.2097304105892,0.7069742453165364,12140 Collegiate Way,Ste 175,,Orlando,FL,32817,"12140 Collegiate Way, Ste 175, Orlando, FL 32817"
yelp,DeJFMIbD7YVF5MwzAfbnWQ,Mochinut,4.3,37,$,False,+14072704435,(407) 270-4435,https://www.yelp.com/biz/mochinut-orlando-12?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.596567,-81.210757,0.761821672883289,12094 Collegiate Way,,,Orlando,FL,32817,"12094 Collegiate Way, Orlando, FL 32817"
yelp,2a7pafBpuK4i_boSpijcjw,Desi Bistro,5.0,1,,False,+14072334692,(407) 233-4692,https://www.yelp.com/biz/desi-bistro-orlando?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.596538517000695,-81.2113246,0.7922552248450417,12058 Collegiate Way,,,Orlando,FL,32817,"12058 Collegiate Way, Orlando, FL 32817"
yelp,x-3TP0SU8DuQf8IScVBQkQ,Raising Cane's Chicken Fingers,5.0,1,,False,+14078034165,(407) 803-4165,https://www.yelp.com/biz/raising-canes-chicken-fingers-orlando-6?adjust_creative=XnY__OJbDP9eLQ62PmQlPw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XnY__OJbDP9eLQ62PmQlPw,28.59726297858476,-81.21209217846656,0.8094484395478659,12025 Collegiate Way,,,Orlando,FL,32817,"12025 Collegiate Way, Orlando, FL 32817"
